Name	title	coding
Belloflostsouls.net	J.R. Zambrano	D&D: An Adventurer’s Guide To The Conclave Of Silverymoon
Livejournal.com	scriptedending	Weekend Box Office: 'Venom' Dominates a Sleepy Box Office
Deadline	Melanie Goodfellow	Jude Law Movie ‘The Order’ To Open Marrakech As Fest Unveils 2024 Line-Up
Deadline	Erik Pedersen	‘Emilia Pérez’ & ‘Blitz’ Top Hollywood Music in Media Awards Nominations
Deadline	Melanie Goodfellow	Johnny Depp’s ‘Modi’ & Robbie Williams Biopic ‘Better Man’ Head To Saudi Arabia’s Red Sea Film Fest With Karim Shenawi’s ‘The Tale Of Daye’s Family’ Set As Opener
Douban.com	小玄儿	从独立精神奖到戛纳｜肖恩·贝克的五部曲｜《阿诺拉》与《让娜·迪尔曼》 (评论: 阿诺拉)
Celebitchy.com	Celebitchy	‘Gossip with Celebitchy’ podcast #182: We watched Agatha All Along and Conclave
Deadline	Zac Ntim	British Independent Film Awards: ‘Kneecap’ Leads Nominations
JoBlo.com	Chris Bumbray	Box Office Predictions: Venom 3 to lead a slow weekend
MetalSucks	Hesher Keenan	Sh*t That Comes Out Today: November 1, 2024
ABC News	JAKE COYLE AP film writer	'Heretic' and Hugh Grant debut with $11 million, but 'Venom: The Last Dance' tops box office again
CNA	None	Venom 3 tops North American box office again, while Tom Hanks film struggles
Patheos	Ben Witherington	The Conclave– The Thriller of the Year
TheWrap	Jeremy Fuster	‘Venom 3’ Stays No. 1, ‘Here’ Doesn’t Go Far on Quiet Box Office Weekend
CinemaBlend	Eric Eisenberg	Venom: The Last Dance Wins The Weekend Again And Crosses A Box Office Milestone As Here Starring Tom Hanks Fails To Garner Much Buzz
New York Post	Johnny Oleksinski	The 2025 Oscars are shaping up to be one weird, depressing night
JoBlo.com	Chris Bumbray	Weekend Box Office: Venom rallies in week 2; has a low second weekend drop
ABC News	JAKE COYLE AP film writer	'Heretic' debuts with $11 million, but 'Venom: The Last Dance' tops box office again
IndieWire	Anne Thompson	‘Wicked’ Wows Oscar Voters En Route to Box Office Bonanza
[Removed]	None	[Removed]
New York Post	Associated Press	‘Venom: The Last Dance’ tops box office for second weekend in a row
Radaronline.com	Matthew Acton	Newly-Single Andrew Garfield Reveals How Real-Life Grief Is Reflected In On-Screen Anguish In Latest Movie Role: 'This is a Version of Inside My Heart Right Now'
Lithub.com	The Lit Hub Podcast	This Week on the Lit Hub Podcast: Celebrating 20 Years of n+1
CinemaBlend	Sarah El-Mahmoud	Denis Villeneuve Weighs In After Dune: Part Two’s Score Is Submitted For The Oscars (Despite Ineligibility Concerns)
Biztoc.com	reason.com	Sean Baker's Anora Is a Riotous Celebration of Working-Class Life
IndieWire	Harrison Richlin	Sean Baker Says the Fight for Theatrical Before Streaming Is Now a Permanent Battle
Biztoc.com	vox.com	In praise of the “middlebrow” movie
TheWrap	Jeremy Fuster	‘Venom 3’ Stays Atop Box Office With Strong $26 Million 2nd Weekend
IndieWire	Anne Thompson	Robert Eggers’ ‘Nosferatu’ Enters the Oscar Race, Fangs and All
Japan Today	None	‘Venom 3’ tops box office again, while Tom Hanks film struggles
ABC News	LINDSEY BAHR AP film writer	‘Venom 3’ tops box office again, while Tom Hanks film struggles
The Times of India	The Feed	Anora on streaming: When and were to watch the dark comedy online?
Dark Horizons	Garth Franklin	“Oppenheimer” Tops 2020s Critics Film Poll
IndieWire	Christian Zilko	IndieWire’s Future of Filmmaking Summit Celebrated Those Who Adapt Without Compromising What Matters
BusinessLine	M  Ramesh	Suhora Technologies launches space image aggregating platform
Lewrockwell.com	No Author	‘Pope Joan’ Smear Returns with a Vengeance: Conclave’s Hermaphroditic Pope
Dark Horizons	Garth Franklin	Box-Office: “Venom” Sinks & “Here” Bombs
Vanity Fair	Richard Lawson	Can’t Handle Election Night Coverage? Here’s What to Watch Instead
Dark Horizons	Garth Franklin	Directors Talk The Future Of Theatrical
The Times of India	ET Online	How a full-nude audition helped this Russian actor get 'Anora', the well-known American romantic comedy movie
Deadline	jillg366	Jesse Eisenberg, Kieran Culkin Drive ‘A Real Pain’ To Top 3 Limited Opening As Audiences Dig Diverse Indie Slate – Specialty Box Office
Deadline	jillg366	‘Anora’, ‘A Real Pain’ Expand, Crunchyroll’s ‘Overlord’ & ‘Small Things Like These’ – Specialty Box Office
IndieWire	Tom Brueggemann	‘Venom: The Last Dance,’ ‘The Wild Robot,’ and Specialized Hits Thrive
Deadline	jillg366	‘Small Things Like These’, ‘Christmas Eve In Miller’s Point’, ‘Bird’, ‘Meanwhile On Earth’ New, ‘Anora’ Goes Wide – Specialty Preview
/FILM	staff@slashfilm.com (BJ Colangelo)	The Best Movie Of 2024 Teaches Hollywood A Lesson It's Been Ignoring For Years
Deadline	Patrick Hipes	Peter Bart: Indies Put Their Faith In Older Demos For Serious Fare Like ‘Conclave’
Forbes	Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/	Romantic Drama ‘We Live In Time’ Gets Digital Streaming Premiere Date
IndieWire	Marcus Jones	‘Luther: Never Too Much’ and ‘Bob Trevino Likes It’ Win Virginia Film Festival 2024 Audience Awards
IndieWire	Ryan Lattanzio	‘Conclave’ Screenwriter Peter Straughan on That Wild Ending, and Why ‘The Goldfinch’ Movie Was ‘a Mistake from the Beginning’
Vanity Fair	David Canfield	‘Anora’ Proves There’s Plenty of Life in the Awards Box Office
Vox	Kyndall Cunningham	In praise of the “middlebrow” movie
Deadline	anthonypauldalessandro	‘Venom: The Last Dance’ Rules Halloween, ‘Here’ Has $475K Previews – Box Office
The New York Review of Books	Anna Shechtman, D. A. Miller	Anora’s Honor
Deadline	Denise Petski	Nude Audition Landed Mark Eydelshteyn Role Of Mikey Madison’s ‘Anora’ Love Interest – Contenders Los Angeles
HYPEBEAST	info@hypebeast.com (Hypebeast)	Conan O'Brien To Host 2025 Oscars
Deadline	Pete Hammond	The State Of The Race – Pete Hammond’s Latest Predictions: “It’s Anybody’s Ballgame”
IndieWire	Marcus Jones	Looks Like European Film Voters Love ‘No Other Land’ but Are Mixed on ‘Hard Truths’
Deadline	Erik Pedersen	‘Anora’ Star Mikey Madison Set For Palm Springs Film Festival’s Breakthrough Performance Award
Deadline	Glenn Garner	‘Anora’ Director Sean Baker Finds It “Frustrating” That Filmmakers Are “Abandoning Celluloid”
IndieWire	Tom Brueggemann	How Not to Release a Film: With ‘Juror #2,’ Warners Cemented Its Anti-Filmmaker Reputation
Deadline	Antonia Blyth	‘Anora’s Mikey Madison On Learning Russian And Portraying Sex Work Respectfully: “That Was The Ultimate Goal”
[Removed]	None	[Removed]
Digital Trends	Jason Struss	3 underrated Netflix movies you should watch this weekend (November 1-3)
Thenation.com	Beatrice Loayza	“Anora,” an American Fantasia
Vulture	Nate Jones	How Every Oscar Movie Can Be the Anti-Trump Movie
IndieWire	Ryan Lattanzio	‘Emilia Pérez,’ ‘Seed of the Sacred Fig,’ ‘Room Next Door’ Lead European Film Award Nominations
AnOther Magazine	Alex Denney	The Best Films to See This November
Vulture	Fran Hoepfner	That’s So Conclave
Variety	Wcinkala	Ryan Reynolds, Jon Batiste and Gia Coppola Among Additional Honorees Announced for Hamilton Behind the Camera Awards Presented by Variety
Vulture	Nate Jones	Are Netflix Normies Ready for for Emilia Pérez?
IndieWire	Samantha Bergeson	‘The Return’ Trailer: Ralph Fiennes Is a Bare-Chested and Bloodied Odysseus Battling for Juliette Binoche
Deadline	Natalie Oganesyan	Todd Phillips Wants Cinemas To Forgo Commercials Before Screening Movies: “We’ve Paid For Our Tickets”
Cosmopolitan.com	Courtney Young	When and Where Can I Watch ‘Emilia Pérez'?
tomandlorenzo.com	Lorenzo Marquez	WE LIVE IN TIME Star Andrew Garfield in Gucci at the 2024 LACMA Art+Film Gala
Dazed	Cici Peng	Sean Baker on Anora and the everyday labour of sex work
Cracked.com	Eli Yudin	Here’s the Bestselling Erotic Novel One of the Popes Wrote
/FILM	staff@slashfilm.com (Ryan Scott)	Before He Became Spider-Man, Andrew Garfield Starred In A Tom Cruise Flop
Vulture	Nate Jones	What Happens at the Oscars If Hillary Wins in 2016?
Livejournal.com	scriptedending	Weekend Box Office: 'Venom 3' Stays on Top
The Daily Dot	Lindsey Weedston	25 of the funniest ‘Conclave’ memes
IndieWire	Tom Brueggemann	Here’s Why Niche Titles Dominated the Top 20 Box Office on Veterans’ Day Weekend
IndieWire	Harrison Richlin	Sean Baker on Making Future Films About Sex Work: ‘I Never Wanted It to Become a Shtick of Mine’
Deadline	matthewgrobar	Talent Manager Ana Bedayo Joins ColorCreative
[Removed]	None	[Removed]
TheWrap	Jeremy Fuster	‘A Real Pain’ Opens to Robust $60,000 Per Theater Average at Specialty Box Office
Rogerebert.com	The Editors	Nicole Kidman Joins Honorees at Palm Springs International Film Festival
VOA News	webdesk@voanews.com (Associated Press)	'Heretic' debuts with $11 million, but 'Venom’ sequel tops box office again
The New Yorker	Paul Elie	Pope Francis, the Cardinals, and “Conclave”
Deadline	Patrick Hipes	Deadline’s Contenders Film: Los Angeles Kicks Off Today With 21 Movies In The Awards-Season Race
Slate Magazine	Dana Stevens, Julia Turner, and Stephen Metcalf	Memorializing Pop’s Renaissance Man, Quincy Jones
The Atlantic	Stephanie Bai	What to Watch if You Need a Distraction This Week
Deadline	anthonypauldalessandro	Hugh Grant’s ‘Heretic’ Could Scare Off ‘Venom 3’ This Weekend; Curtains Lift On ‘The Best Christmas Pageant Ever’ – Box Office Preview
Variety	Jazztangcay	Joan Chen on the State of AAPI Storytelling in Hollywood: ‘The Progress We Have Made Is Worth Celebrating’
Deadline	anthonypauldalessandro	‘Heretic’ Stirs Up $1.2M In Previews, ‘Venom 3’ Crossing $100M Today – Box Office
Variety	Rebecca Rubin	Dwayne Johnson’s ‘Red One’ Targets $30 Million Box Office Bounty
Forbes	Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/	Tom Hanks And Robin Wright’s ‘Here’ Opens Flat At Weekend Box Office
Deadline	Patrick Hipes	Jack Huston And Michael C. Pitt Staged Real Fight At End Of ‘Day Of The Fight’ – Contenders Los Angeles
Breitbart News	Breitbart News, Breitbart News	Box Office: ‘Venom 3’ Still No. 1, Tom Hanks’s ‘Here’ Bombs
The Week Magazine	theweekonlineeditorsuk@futurenet.com (Irenie Forshaw, The Week UK)	Anora: Sean Baker's 'startlingly wise and tender' film is his most 'vivid creation yet'
tomandlorenzo.com	Lorenzo Marquez	ANORA Star Mikey Madison in Gucci at the 2024 LACMA Art+Film Gala
VOA News	webdesk@voanews.com (Associated Press)	‘Venom 3’ tops box office again, while Tom Hanks film struggles
[Removed]	None	[Removed]
Reason	Peter Suderman	Sean Baker's Anora Is a Riotous Celebration of Working-Class Life
Variety	Rebecca Rubin	‘Venom 3’ Leads Box Office Again, A24’s ‘Heretic’ Scares Up $11 Million Debut in Sleepy Weekend
Variety	Nvivarelli	Jude Law Crime Thriller ‘The Order’ to Open Marrakech Film Festival Amid Richly Assorted Lineup
IndieWire	Christian Blauvelt	They Stared Down Tanks to Film ‘No Other Land’ — Will Distributors Continue to Look Away?
[Removed]	None	[Removed]
Japan Today	None	'Heretic' and Hugh Grant debut with $11 million, but 'Venom: The Last Dance' tops box office again
Dark Horizons	Garth Franklin	“Venom” Atop Post-Election Box-Office
JoBlo.com	Mathew Plale	Weekend Box Office: Venom dances to #1 for 3rd straight week
CinemaBlend	Eric Eisenberg	Venom: The Last Dance Wins The Weekend Box Office Again As Heretic And The Best Christmas Pageant Ever Battle For Second Place
IndieWire	Ryan Lattanzio	Sean Baker Breaks Down the Emotional Last Scene of ‘Anora’ — and One of the Great Movie Endings
New York Post	Associated Press	‘Heretic’ debuts with $11M, but ‘Venom: The Last Dance’ tops box office again
CounterPunch	Phil Wilson	Gazing Out Over Eternity With No Relief in Sight
CounterPunch	Phil Wilson	No Relief in Sight for Gaza
Acast.com	None	BONUS The Friday Show - Their Eyes Were Watching Godzilla
Slate Magazine	Sam Adams	Anora’s Final Minutes Are Leaving Viewers Scratching Their Heads. That’s by Design.
NBC News	Variety	‘Venom 3’ leads box office again, A24’s ‘Heretic’ scares up $11 million bebut in sleepy weekend
Belloflostsouls.net	J.R. Zambrano	D&D: An Adventurer’s Guide To The Conclave Of Silverymoon
Vulture	Roxana Hadadi	We Asked Anora’s Yura Borisov About That Final Scene Inside the Car
Livejournal.com	scriptedending	Weekend Box Office: 'Venom' Dominates a Sleepy Box Office
Deadline	Melanie Goodfellow	Jude Law Movie ‘The Order’ To Open Marrakech As Fest Unveils 2024 Line-Up
Deadline	Erik Pedersen	‘Emilia Pérez’ & ‘Blitz’ Top Hollywood Music in Media Awards Nominations
Deadline	Melanie Goodfellow	Johnny Depp’s ‘Modi’ & Robbie Williams Biopic ‘Better Man’ Head To Saudi Arabia’s Red Sea Film Fest With Karim Shenawi’s ‘The Tale Of Daye’s Family’ Set As Opener
Douban.com	小玄儿	从独立精神奖到戛纳｜肖恩·贝克的五部曲｜《阿诺拉》与《让娜·迪尔曼》 (评论: 阿诺拉)
Celebitchy.com	Celebitchy	‘Gossip with Celebitchy’ podcast #182: We watched Agatha All Along and Conclave
Deadline	Zac Ntim	British Independent Film Awards: ‘Kneecap’ Leads Nominations
JoBlo.com	Chris Bumbray	Box Office Predictions: Venom 3 to lead a slow weekend
MetalSucks	Hesher Keenan	Sh*t That Comes Out Today: November 1, 2024
ABC News	JAKE COYLE AP film writer	'Heretic' and Hugh Grant debut with $11 million, but 'Venom: The Last Dance' tops box office again
CNA	None	Venom 3 tops North American box office again, while Tom Hanks film struggles
Patheos	Ben Witherington	The Conclave– The Thriller of the Year
TheWrap	Jeremy Fuster	‘Venom 3’ Stays No. 1, ‘Here’ Doesn’t Go Far on Quiet Box Office Weekend
CinemaBlend	Eric Eisenberg	Venom: The Last Dance Wins The Weekend Again And Crosses A Box Office Milestone As Here Starring Tom Hanks Fails To Garner Much Buzz
Theplaylist.net	Gregory Ellwood	‘Nosferatu’ Steps Out From The Oscars Shadows [Contender Countdown]
New York Post	Johnny Oleksinski	The 2025 Oscars are shaping up to be one weird, depressing night
JoBlo.com	Chris Bumbray	Weekend Box Office: Venom rallies in week 2; has a low second weekend drop
ABC News	JAKE COYLE AP film writer	'Heretic' debuts with $11 million, but 'Venom: The Last Dance' tops box office again
Rlsbb.cc	saamaan1@yahoo.com (Master)	Time Magazine USA - November 25, 2024
IndieWire	Anne Thompson	‘Wicked’ Wows Oscar Voters En Route to Box Office Bonanza
Deadline	jillg366	Jesse Eisenberg, Kieran Culkin Drive ‘A Real Pain’ To Top 3 Limited Opening As Audiences Dig Diverse Indie Slate – Specialty Box Office
Deadline	jillg366	‘Anora’, ‘A Real Pain’ Expand, Crunchyroll’s ‘Overlord’ & ‘Small Things Like These’ – Specialty Box Office
IndieWire	Tom Brueggemann	‘Venom: The Last Dance,’ ‘The Wild Robot,’ and Specialized Hits Thrive
/FILM	staff@slashfilm.com (Jeremy Smith)	Florence Pugh's Favorite Movie Of All Time Is A Controversial Romantic Drama
Deadline	jillg366	‘Small Things Like These’, ‘Christmas Eve In Miller’s Point’, ‘Bird’, ‘Meanwhile On Earth’ New, ‘Anora’ Goes Wide – Specialty Preview
/FILM	staff@slashfilm.com (BJ Colangelo)	The Best Movie Of 2024 Teaches Hollywood A Lesson It's Been Ignoring For Years
IndieWire	Tom Brueggemann	How Netflix Put the Hurt on The Rock with $34 Million for Amazon MGM’s ‘Red One’
IndieWire	Harrison Richlin	Isabella Rossellini Says ‘Conclave’ Is Entertaining Because ‘the Church Is So Theatrical’
Deadline	Patrick Hipes	Peter Bart: Indies Put Their Faith In Older Demos For Serious Fare Like ‘Conclave’
Forbes	Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/	Romantic Drama ‘We Live In Time’ Gets Digital Streaming Premiere Date
IndieWire	Marcus Jones	‘Luther: Never Too Much’ and ‘Bob Trevino Likes It’ Win Virginia Film Festival 2024 Audience Awards
IndieWire	Ryan Lattanzio	‘Conclave’ Screenwriter Peter Straughan on That Wild Ending, and Why ‘The Goldfinch’ Movie Was ‘a Mistake from the Beginning’
Vanity Fair	David Canfield	‘Anora’ Proves There’s Plenty of Life in the Awards Box Office
Vox	Kyndall Cunningham	In praise of the “middlebrow” movie
Deadline	anthonypauldalessandro	‘Venom: The Last Dance’ Rules Halloween, ‘Here’ Has $475K Previews – Box Office
The New York Review of Books	Anna Shechtman, D. A. Miller	Anora’s Honor
Eonline.com	None	Florence Pugh Froze Her Eggs at 27 Amid PCOS, Endometriosis Journey
Deadline	Denise Petski	Nude Audition Landed Mark Eydelshteyn Role Of Mikey Madison’s ‘Anora’ Love Interest – Contenders Los Angeles
HYPEBEAST	info@hypebeast.com (Hypebeast)	Conan O'Brien To Host 2025 Oscars
Deadline	Pete Hammond	The State Of The Race – Pete Hammond’s Latest Predictions: “It’s Anybody’s Ballgame”
IndieWire	Marcus Jones	Looks Like European Film Voters Love ‘No Other Land’ but Are Mixed on ‘Hard Truths’
Deadline	Erik Pedersen	‘Anora’ Star Mikey Madison Set For Palm Springs Film Festival’s Breakthrough Performance Award
Deadline	dmorgan1201	‘Conclave’: Why Isabella Rossellini Chose To Play Her Nun Role “With A Lot Of Authority”
Forbes	Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/	Acclaimed Pope Thriller ‘Conclave’ Gets Digital Streaming Date
Deadline	Glenn Garner	‘Anora’ Director Sean Baker Finds It “Frustrating” That Filmmakers Are “Abandoning Celluloid”
[Removed]	None	[Removed]
IndieWire	Tom Brueggemann	How Not to Release a Film: With ‘Juror #2,’ Warners Cemented Its Anti-Filmmaker Reputation
Deadline	Antonia Blyth	‘Anora’s Mikey Madison On Learning Russian And Portraying Sex Work Respectfully: “That Was The Ultimate Goal”
[Removed]	None	[Removed]
Digital Trends	Jason Struss	3 underrated Netflix movies you should watch this weekend (November 1-3)
Thenation.com	Beatrice Loayza	“Anora,” an American Fantasia
Vulture	Nate Jones	How Every Oscar Movie Can Be the Anti-Trump Movie
IndieWire	Ryan Lattanzio	‘Emilia Pérez,’ ‘Seed of the Sacred Fig,’ ‘Room Next Door’ Lead European Film Award Nominations
AnOther Magazine	Alex Denney	The Best Films to See This November
Vulture	Fran Hoepfner	That’s So Conclave
Variety	Wcinkala	Ryan Reynolds, Jon Batiste and Gia Coppola Among Additional Honorees Announced for Hamilton Behind the Camera Awards Presented by Variety
Subtraction.com	Khoi	Movies Watched, October 2024
Deadline	Patrick Hipes	Deadline Launches The Contenders Film: Los Angeles Streaming Site
Vulture	Nate Jones	Are Netflix Normies Ready for for Emilia Pérez?
IndieWire	Samantha Bergeson	‘The Return’ Trailer: Ralph Fiennes Is a Bare-Chested and Bloodied Odysseus Battling for Juliette Binoche
IndieWire	Anne Thompson	‘A Complete Unknown’ Is Heading for Oscars Glory — Especially for Star Timothée Chalamet
Deadline	Natalie Oganesyan	Todd Phillips Wants Cinemas To Forgo Commercials Before Screening Movies: “We’ve Paid For Our Tickets”
Space.com	mwall@space.com (Mike Wall)	SpaceX likely to get FAA approval for 25 Starship launches in 2025
Cosmopolitan.com	Courtney Young	When and Where Can I Watch ‘Emilia Pérez'?
tomandlorenzo.com	Lorenzo Marquez	WE LIVE IN TIME Star Andrew Garfield in Gucci at the 2024 LACMA Art+Film Gala
Dazed	Cici Peng	Sean Baker on Anora and the everyday labour of sex work
Cracked.com	Eli Yudin	Here’s the Bestselling Erotic Novel One of the Popes Wrote
/FILM	staff@slashfilm.com (Ryan Scott)	Before He Became Spider-Man, Andrew Garfield Starred In A Tom Cruise Flop
Vulture	Nate Jones	What Happens at the Oscars If Hillary Wins in 2016?
Livejournal.com	scriptedending	Weekend Box Office: 'Venom 3' Stays on Top
The Daily Dot	Lindsey Weedston	25 of the funniest ‘Conclave’ memes
IndieWire	Tony Maglio	Spike Lee to Head Saudi Arabia’s Red Sea Film Festival Jury
IndieWire	Tom Brueggemann	Here’s Why Niche Titles Dominated the Top 20 Box Office on Veterans’ Day Weekend
IndieWire	Harrison Richlin	Sean Baker on Making Future Films About Sex Work: ‘I Never Wanted It to Become a Shtick of Mine’
Deadline	matthewgrobar	Talent Manager Ana Bedayo Joins ColorCreative
[Removed]	None	[Removed]
TheWrap	Jeremy Fuster	‘A Real Pain’ Opens to Robust $60,000 Per Theater Average at Specialty Box Office
Rogerebert.com	The Editors	Nicole Kidman Joins Honorees at Palm Springs International Film Festival
VOA News	webdesk@voanews.com (Associated Press)	'Heretic' debuts with $11 million, but 'Venom’ sequel tops box office again
The New Yorker	Paul Elie	Pope Francis, the Cardinals, and “Conclave”
Deadline	Patrick Hipes	Deadline’s Contenders Film: Los Angeles Kicks Off Today With 21 Movies In The Awards-Season Race
Slate Magazine	Dana Stevens, Julia Turner, and Stephen Metcalf	Memorializing Pop’s Renaissance Man, Quincy Jones
The Atlantic	Tom Nichols	The Senate Exists for a Reason
The Atlantic	Stephanie Bai	What to Watch if You Need a Distraction This Week
Deadline	anthonypauldalessandro	Hugh Grant’s ‘Heretic’ Could Scare Off ‘Venom 3’ This Weekend; Curtains Lift On ‘The Best Christmas Pageant Ever’ – Box Office Preview
Variety	Jazztangcay	Joan Chen on the State of AAPI Storytelling in Hollywood: ‘The Progress We Have Made Is Worth Celebrating’
Deadline	anthonypauldalessandro	‘Heretic’ Stirs Up $1.2M In Previews, ‘Venom 3’ Crossing $100M Today – Box Office
Variety	Rebecca Rubin	Dwayne Johnson’s ‘Red One’ Targets $30 Million Box Office Bounty
Deadline	Pete Hammond	Governors Awards Present Honorary Oscars To Juliet Taylor, Quincy Jones, Richard Curtis & Bond Producers In Emotional Kickoff To A Long Season
NPR	Patrick Jarenwattananon	Why 'Conclave' is doing so well at the box office
[Removed]	None	[Removed]
Deadline	jillg366	‘Hello, Love, Again’ Sets Opening Record For Filipino Film, Marketing To Vibrant Audience “Exhibitors May Have Underestimated” — Specialty Box Office
Forbes	Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/	Tom Hanks And Robin Wright’s ‘Here’ Opens Flat At Weekend Box Office
tomandlorenzo.com	Lorenzo Marquez	Style File: ANORA Star Mikey Madison in Mugler and Prada
Deadline	Patrick Hipes	Jack Huston And Michael C. Pitt Staged Real Fight At End Of ‘Day Of The Fight’ – Contenders Los Angeles
Breitbart News	Breitbart News, Breitbart News	Box Office: ‘Venom 3’ Still No. 1, Tom Hanks’s ‘Here’ Bombs
IndieWire	Anne Thompson	Awards Season Is Already in Full Swing — A Starry, Teary Academy Governors Awards Is Just the Start
The Week Magazine	theweekonlineeditorsuk@futurenet.com (Irenie Forshaw, The Week UK)	Anora: Sean Baker's 'startlingly wise and tender' film is his most 'vivid creation yet'
tomandlorenzo.com	Lorenzo Marquez	ANORA Star Mikey Madison in Gucci at the 2024 LACMA Art+Film Gala
Patriciamcconnell.com	Trisha	The Comfort of Dogs
VOA News	webdesk@voanews.com (Associated Press)	‘Venom 3’ tops box office again, while Tom Hanks film struggles
[Removed]	None	[Removed]
Reason	Peter Suderman	Sean Baker's Anora Is a Riotous Celebration of Working-Class Life
Variety	Rebecca Rubin	‘Venom 3’ Leads Box Office Again, A24’s ‘Heretic’ Scares Up $11 Million Debut in Sleepy Weekend
Variety	Nvivarelli	Jude Law Crime Thriller ‘The Order’ to Open Marrakech Film Festival Amid Richly Assorted Lineup
IndieWire	Christian Blauvelt	They Stared Down Tanks to Film ‘No Other Land’ — Will Distributors Continue to Look Away?
[Removed]	None	[Removed]
Japan Today	None	'Heretic' and Hugh Grant debut with $11 million, but 'Venom: The Last Dance' tops box office again
Dark Horizons	Garth Franklin	“Venom” Atop Post-Election Box-Office
TVLine	Claire Franken	SNL Video: Charli XCX Spoofs Adele, Troye Sivan in Wicked Auditions Sketch — See More Celebrity Impressions
JoBlo.com	Mathew Plale	Weekend Box Office: Venom dances to #1 for 3rd straight week
CinemaBlend	Eric Eisenberg	Venom: The Last Dance Wins The Weekend Box Office Again As Heretic And The Best Christmas Pageant Ever Battle For Second Place
IndieWire	Ryan Lattanzio	Sean Baker Breaks Down the Emotional Last Scene of ‘Anora’ — and One of the Great Movie Endings
New York Post	Associated Press	‘Heretic’ debuts with $11M, but ‘Venom: The Last Dance’ tops box office again
CounterPunch	Phil Wilson	Gazing Out Over Eternity With No Relief in Sight
CounterPunch	Phil Wilson	No Relief in Sight for Gaza
Acast.com	None	BONUS The Friday Show - Their Eyes Were Watching Godzilla
Boston Herald	Tribune News Service	Oscars 2025: The pickings aren’t slim, provided you take the time to look
Slate Magazine	Sam Adams	Anora’s Final Minutes Are Leaving Viewers Scratching Their Heads. That’s by Design.
Newser	Bob Cronin	Audiences, Studios Seem to Await Wicked, Gladiator II
